物流单号导入报告
==========================================
导入时间: 2026-01-14 20:44:16
Excel文件: /www/wwwroot/23.248.226.82/1.14日九块二出单236条共6108.8元 (2).xlsx
成功: 234 条
失败: 1 条
跳过: 1 条
==========================================

成功更新的订单:
订单ID: 944, 订单号: SO202601132104250027733928, 物流: 韵达快递 434994940208545, 状态: paid → shipped
订单ID: 934, 订单号: SO202601132051340001622449, 物流: 韵达快递 434994939368768, 状态: shipped → shipped
订单ID: 813, 订单号: SO202601131955000009947662, 物流: 韵达快递 434994927173397, 状态: shipped → shipped
订单ID: 964, 订单号: SO202601132115400029294191, 物流: 韵达快递 434994944066421, 状态: shipped → shipped
订单ID: 773, 订单号: SO202601131947310029296290, 物流: 韵达快递 434994927145783, 状态: shipped → shipped
订单ID: 769, 订单号: SO202601131946490013678902, 物流: 韵达快递 434994940187152, 状态: shipped → shipped
订单ID: 891, 订单号: SO202601132023130002694087, 物流: 韵达快递 434994942534154, 状态: shipped → shipped
订单ID: 776, 订单号: SO202601131947510002694051, 物流: 韵达快递 434994944059418, 状态: shipped → shipped
订单ID: 935, 订单号: SO202601132055010024167927, 物流: 韵达快递 434994941751246, 状态: shipped → shipped
订单ID: 679, 订单号: SO202601131916560003069681, 物流: 韵达快递 434994934126062, 状态: shipped → shipped
订单ID: 819, 订单号: SO202601131955560015513532, 物流: 韵达快递 434994946424609, 状态: shipped → shipped
订单ID: 761, 订单号: SO202601131946000014493583, 物流: 韵达快递 434994931808095, 状态: shipped → shipped
订单ID: 736, 订单号: SO202601131942170014499532, 物流: 韵达快递 434994936479982, 状态: shipped → shipped
订单ID: 875, 订单号: SO202601132018420013316492, 物流: 韵达快递 434994937192925, 状态: shipped → shipped
订单ID: 918, 订单号: SO202601132036570010709879, 物流: 韵达快递 434994936503523, 状态: shipped → shipped
订单ID: 727, 订单号: SO202601131938370006267325, 物流: 韵达快递 434994923959002, 状态: shipped → shipped
订单ID: 698, 订单号: SO202601131925190002506209, 物流: 韵达快递 434994937155688, 状态: shipped → shipped
